Case #,Question,Answer,Simplefied question,Simplified Answer
"""00001635""","Quick question about what we can expect when Google deprecates UA in 2024. I've seen several conflicting things online about how things will work post-June 2024 and wanted to clarify so we're setting the right expectations internally.

We obviously know that data will stop collecting after 6/30/24, but will users still be able to log in and access standard/custom reports in UA as they do today after the deprecation date? Or will Google cut off access to the UA interface entirely, leaving BigQuery the only option for retrieving UA data?

Thanks in advance for your help!","According to what was discussed in our Partner summit a couple of months ago, Universal Analytics will be turned off completely with the inability to access the UI, API, or anything else related to UA outside of the data in BQ (which is yours). As of now, we have not heard of this being any different and have been functioning with the expectation that this will not change. 

We have created a service here to assist clients with their needs around combining their UA data with GA4 data to help teams retain their YoY data in a single source in preparation for the sunset of UA in July 2024. Our GA4 Activation Service Bundle is designed to ensure you securely, efficiently and intelligently utilize your new GA4 data to inform your business decisions and solve critical challenges:
 

• Merge UA and GA4 data in BigQuery to enable consistent tracking and YoY comparisons
• Process, transform, and aggregate your GA4 data for use in BI tools and other systems
• Ensure existing downstream BI/analytics reporting isn’t interrupted
• Build trust in your data with tools/reports to identify when tracking breaks
• Onboard your team quickly with professional training resources


This service includes:

• Configure the GA4 + BigQuery integration
• Translate historical UA data to the new GA4 data model in BigQuery
• Configure and orchestrate our dbt model to process GA4 data
• Create standard Data Quality validation reports to ensure parity/accuracy
• Google Analytics 4 OnDemand training to support team knowledge","After June 30, 2024, will users still be able to access standard/custom reports in Universal Analytics (UA) or only through BigQuery?","based on the information from the Partner summit, Universal Analytics (UA) will be completely turned off, and your service is designed to assist clients in combining UA data with GA4 data for consistent tracking and YoY comparisons. The GA4 Activation Service Bundle includes configuring the GA4 + BigQuery integration, translating historical UA data to GA4 data, processing GA4 data with dbt models, creating data quality validation reports, and providing Google Analytics 4 OnDemand training for team support."
"""00001632""",It looks like the recommended solution of adding google analytics to our payment pages may not be possible.  Is there an alternative solution we can explore?," If adding GA to the page is not possible, then your next option is to import your events as ""offline events"" into Google Analytics:

[GA4] Import offline events: https://support.google.com/analytics/answer/10325025?hl=en

This will require you and your team to follow the requirements for the upload daily (manually, python application, SFTP, etc.)

You will want to make sure that you are somehow passing your session id and client id from your site to the payment portal (via query params or some sort of back-end method if possible), at store that information with your transactions.",Can't put GA on payment pages. Alternatives for tracking purchases?,"Upload purchase data manually as ""offline events"" in GA4. Requires daily uploads & passing user IDs from your site to the payment portal.

In short: Instead of real-time tracking, you manually upload purchase data every day.

Note: This requires some technical setup and ongoing maintenance.

https://support.google.com/analytics/answer/10325025?hl=en"
"""00001628""","I would like to know what is considered proper implementation for creating custom events within GA4 for apps that have those custom events hardcoded into them. I have attached a screenshot of the GA4 interface used for creating custom events, but I cannot see how there would be any connection between the event I create in GA4 and the hardcoded one that was created in the app by developers. Note that we are not using GTM for this implementation.","Creating an event in GA4 just creates an event using other events + parameter combinations. This feature is to be used if you are sending one event (e.g. artcile_view) but want to create a more specific event based on the information passed with that event (e.g. creating an event called article_view_premium where the original event was ""article_view"" and the parameter ""type"" is equal to ""premium"").

Sending any event from your app (e.g a custom event name ""super_cool_event_for_lead_gen"" would automatically be seen in GA4 and requires no additional settings to see. The only update to GA4 you will need to do is create and additional custom dimension/metrics you wish to use in your reports in the GA4 UI that are being sent with that event.\

More information on creating and modifying events in GA4 can be found here: https://support.google.com/analytics/answer/10085872?hl=en","Can't add Google Analytics to our payment pages, but need to track events there. Alternatives?","You can send custom events directly from your app (e.g., ""super_cool_event_for_lead_gen""). GA4 will automatically see them without needing additional settings. Just create custom dimensions/metrics in GA4 for specific data you want to track.

Basically: No GTM needed, just send events directly from your app and add relevant metrics/dimensions in GA4 for reporting.

More info: https://support.google.com/analytics/answer/10085872?hl=en"
"""00001619""",,,"Could you please update this new property to 360 for the upcoming new
brand site?","Sales Partners can set the service levels of properties for their clients. Sales Partner clients and Direct clients can set the service levels of their own properties. To set the service level of a property:

Sign in to Google Marketing Platform.
Click Administration > Organizations.
Click the relevant organization.
Sales Partner: Click Clients, then click a client name. Under Linked accounts, select Analytics, then the specific account.
Client: Under Linked accounts, select Analytics, then the specific account.
Select the check box for the Google Analytics 4 property you want to upgrade/downgrade.
Click More, then click Upgrade selected properties"
"""00001344""",,,Please assist with downgrading the following properties from 360 to standard.,"Preparation:

Unlink the 360 property from roll-ups and other Google products.
Create a temporary Google Analytics account.
Contact Google Support to request the downgrade.
Moving Properties in Google Analytics:

Access Admin settings, locate the 360 property, and go to Property Settings.
Initiate the move to the temporary account.
Managing in Google Marketing Platform:

Access GMP > Administration > Search Discovery > Clients.
Locate the client, go to Analytics, find the temporary account.
Unlink the account and remove user groups.
Finalizing in Google Analytics:

Access Admin settings, locate the temporary account, and go to Property Settings.
Move the property to the final destination account.

Remember the support team has FAQ docuemnents that walks through this process in more detail:
https://docs.google.com/document/d/1pF36mbD5rsaQSoMwEM0u2Rax35HPQyy1SzQki8PXHM0/edit"
"""00001346""","Do we have any guidance on how to best avoid or minimize GA4 Token usage within Looker Studio?
 
A non-GA360 service level client reached out late last week and reported an issue related to quota errors appear on their Looker Studio Dashboard
 
I sent the client some information related to the changes that took place in November, along with links about the Quota Limits and Troubleshooting any quota limit errors that may be encountered, but they are concerned at having hit the quota limits without having done very much editing or viewing of Looker information in that work session.

Please let me know if you need any additional information to help with this request.","Currently, there is no update to the way Looker Studio pulls data from GA4 into LS.

The reason token limits are hit is often times due to the intractability of the dashboard, meaning that when changes are made then the report needs to refresh (e.g. re-download) the data, increasing their token usage for the day. They can prevent this by making dashboards that minimizes cardinality, or reduce the number of ways the user can manipulate the data.


There is also the case to use the ""extract"" feature as well as begin looking at pulling data from BQ instead of GA4 UI.

There is a section in your ""Troubleshooting"" article that is pretty straight forward, and essentially it suggests that if you are running an enterprise level business (with the need for more tokens due to their size), that they should consider GA360 (especially at its new price point):

 

First, use owner's credentials for the data source instead of viewer credentials to increase the likelihood of using cached data instead of querying data and using quota tokens. If you are relying on viewer's credentials, consider switching to owner's.
If your reports use multiple Google Analytics 4 data sources, consider consolidating them if possible into a single reusable data source. This will also increase the likelihood of using cached data instead of querying data and using tokens.
Reduce the traffic to the report. Consider sharing the report with fewer people, and don't embed the report in a high traffic website.
Reduce the number of charts on each page.
Extract the Google Analytics 4 data and use the extracted data instead of the Google Analytics 4 data source.
Note: you'll need to wait until any exceeded quotas have refreshed before you can extract the data. Depending on the quota exceeded, this can take up to 24 hours.
Export your Analytics data to BigQuery, then use the BigQuery connector to visualize that data in Looker Studio. 
Upgrade to Analytics 360.
Consider using a partner connector.
Not sure if this really helps, but I think you gave them all the tools they need to understand what needs to happen next!",How did the non-GA360 client hit the GA4 token usage limit with minimal Looker Studio activity?,"Interactive dashboard elements often trigger data refreshes, consuming tokens. Minimize dashboard interactivity and cardinality (number of ways data can be manipulated) to reduce refreshes."
"""00001346""","Do we have any guidance on how to best avoid or minimize GA4 Token usage within Looker Studio?
 
A non-GA360 service level client reached out late last week and reported an issue related to quota errors appear on their Looker Studio Dashboard
 
I sent the client some information related to the changes that took place in November, along with links about the Quota Limits and Troubleshooting any quota limit errors that may be encountered, but they are concerned at having hit the quota limits without having done very much editing or viewing of Looker information in that work session.

Please let me know if you need any additional information to help with this request.","Currently, there is no update to the way Looker Studio pulls data from GA4 into LS.

The reason token limits are hit is often times due to the intractability of the dashboard, meaning that when changes are made then the report needs to refresh (e.g. re-download) the data, increasing their token usage for the day. They can prevent this by making dashboards that minimizes cardinality, or reduce the number of ways the user can manipulate the data.


There is also the case to use the ""extract"" feature as well as begin looking at pulling data from BQ instead of GA4 UI.

There is a section in your ""Troubleshooting"" article that is pretty straight forward, and essentially it suggests that if you are running an enterprise level business (with the need for more tokens due to their size), that they should consider GA360 (especially at its new price point):

 

First, use owner's credentials for the data source instead of viewer credentials to increase the likelihood of using cached data instead of querying data and using quota tokens. If you are relying on viewer's credentials, consider switching to owner's.
If your reports use multiple Google Analytics 4 data sources, consider consolidating them if possible into a single reusable data source. This will also increase the likelihood of using cached data instead of querying data and using tokens.
Reduce the traffic to the report. Consider sharing the report with fewer people, and don't embed the report in a high traffic website.
Reduce the number of charts on each page.
Extract the Google Analytics 4 data and use the extracted data instead of the Google Analytics 4 data source.
Note: you'll need to wait until any exceeded quotas have refreshed before you can extract the data. Depending on the quota exceeded, this can take up to 24 hours.
Export your Analytics data to BigQuery, then use the BigQuery connector to visualize that data in Looker Studio. 
Upgrade to Analytics 360.
Consider using a partner connector.
Not sure if this really helps, but I think you gave them all the tools they need to understand what needs to happen next!",Is there any specific dashboard functionality or element causing high token consumption?,"Interactive elements like filters and dynamic charts often require data refreshes, increasing token usage."
"""00001346""","Do we have any guidance on how to best avoid or minimize GA4 Token usage within Looker Studio?
 
A non-GA360 service level client reached out late last week and reported an issue related to quota errors appear on their Looker Studio Dashboard
 
I sent the client some information related to the changes that took place in November, along with links about the Quota Limits and Troubleshooting any quota limit errors that may be encountered, but they are concerned at having hit the quota limits without having done very much editing or viewing of Looker information in that work session.

Please let me know if you need any additional information to help with this request.","Currently, there is no update to the way Looker Studio pulls data from GA4 into LS.

The reason token limits are hit is often times due to the intractability of the dashboard, meaning that when changes are made then the report needs to refresh (e.g. re-download) the data, increasing their token usage for the day. They can prevent this by making dashboards that minimizes cardinality, or reduce the number of ways the user can manipulate the data.


There is also the case to use the ""extract"" feature as well as begin looking at pulling data from BQ instead of GA4 UI.

There is a section in your ""Troubleshooting"" article that is pretty straight forward, and essentially it suggests that if you are running an enterprise level business (with the need for more tokens due to their size), that they should consider GA360 (especially at its new price point):

 

First, use owner's credentials for the data source instead of viewer credentials to increase the likelihood of using cached data instead of querying data and using quota tokens. If you are relying on viewer's credentials, consider switching to owner's.
If your reports use multiple Google Analytics 4 data sources, consider consolidating them if possible into a single reusable data source. This will also increase the likelihood of using cached data instead of querying data and using tokens.
Reduce the traffic to the report. Consider sharing the report with fewer people, and don't embed the report in a high traffic website.
Reduce the number of charts on each page.
Extract the Google Analytics 4 data and use the extracted data instead of the Google Analytics 4 data source.
Note: you'll need to wait until any exceeded quotas have refreshed before you can extract the data. Depending on the quota exceeded, this can take up to 24 hours.
Export your Analytics data to BigQuery, then use the BigQuery connector to visualize that data in Looker Studio. 
Upgrade to Analytics 360.
Consider using a partner connector.
Not sure if this really helps, but I think you gave them all the tools they need to understand what needs to happen next!",Are there any best practices or optimizations to minimize future token usage in Looker Studio reports?,"Use owner's credentials for data sources to increase cached data usage.
Consolidate multiple GA4 data sources into one.
Reduce report traffic and embeds.
Minimize charts per page.
Extract GA4 data and use it directly instead of live connections.
Export data to BigQuery and visualize it from there.
Consider upgrading to GA360 for higher token quotas.
Explore partner connectors for alternative data access methods."
"""00001352""","We're currently in the middle of migrating from using Heap to Google Analytics 4; BigQuery Export is part of our new pipeline to extract our raw, granular onsite data for later use. With our setup with Heap, we track IPs of each individual session. My question is whether or not we're allowed to do this in Google Analytics 4 and/or BigQuery? 
 
I understand we are not able to track PII data points like emails, addresses, and names. Are IPs under the same constraints as these? We wouldn't be surfacing this in GA, but rather tracking them in the dataLayer and Google Tag Manager to have them available in our BigQuery export.
 
Just want to make sure we're being compliant with GDPR and other related rules & regulations!","In regards to IPs, Google interprets IPs and excludes them as PII:

https://support.google.com/analytics/answer/7686480?hl=en

However, storing these in GA4/UA can open you up to other policy breaches such as GDPR, CCPA, etc. that would prevent you from storing this data/forcing you to remove the data.

In regards to BQ side, you are able to store PII in this environment as the restrictions on STORING information are not impacted by policies, but COLLECTING the information may still be subject to policies that are put into place to protect PII.

The overall outcome would be: You can collect IP addresses in GA/BQ without Google classifying the IP as PII, however, the IP address is considered PII among other policies so it is CRITICAL that your policy management software is configured correctly to assure data (including IPs) are only capture when it complies with other policies.

Please review and let me know if you have any additional questions.","Can we track individual session IPs in Google Analytics 4 and BigQuery, similar to our setup in Heap, while maintaining GDPR and other regulatory compliance?","Google's stance: Google doesn't classify IPs as PII in GA4/UA, but storing them could conflict with GDPR, CCPA, etc.
https://support.google.com/analytics/answer/7686480?hl=en

BigQuery storage: BQ can store PII, but collection might still be subject to privacy policies.

Compliance considerations:
Configure policy management software to ensure IP collection aligns with regulations.
Consider potential GDPR/CCPA conflicts before storing IPs in GA4/UA.

Key takeaway: While technically possible to collect IPs in GA4/BQ, exercise caution and ensure compliance with applicable privacy regulations."
"""00001349""","Are there additional costs associated with adding rollup properties to GA4 accounts?
 
Lacy, our client over at HCA, stumbled upon some information in regards to pricing for rollup properties. She read somewhere that there would be additional costs associated with adding new rollup properties. I told her I would reach out to gain clarity around the rollup properties and any additional costs they need to be aware of. Can you please advise?","With any sub-property or rollup property, events sent to either version will be counted as 0.5 events. Example:

Source property: 1000 events
sub-property receives 200 events due to filter
total billable events: 1100 events (1000 from source and 200x0.5 from sub).

This information can be found here under the ""Create a Sub-property"" section: https://support.google.com/analytics/answer/11526072?hl=en","
Are there additional costs associated with adding rollup properties to GA4 accounts?","Yes, there are cost considerations when using rollup properties. Each event sent to a rollup property counts as 0.5 events for billing purposes. This applies to both events directly sent to the rollup and events inherited from source properties.

Example:

Source property: 1000 events
Rollup property receives 200 events due to filtering
Total billable events: 1100 (1000 from source + 200 x 0.5)
Key takeaway: Rollup properties offer functionality but increase your GA4 billing by counting events as half their value.

Additional resources:

Google Analytics Help: https://support.google.com/analytics/answer/11526072?hl=en"
"""00001349""",I guess my question is -- will it be a wash in terms of costs -- since we are basically moving properties from one place -- into another? So they all WERE in another group rollup -- and now they're in this new one and NOT the other group? In theory there's no NET NEW anything? Am I understanding correctly? ,"Billing will not be impacted if the change is just moving one source property + filter combination from one roll-up to another.

Yes, that makes sense. If they are UNLINKNG one property + filter combination form a roll-up and then LINKING that property + filter combination to another roll-up, then the billing should not change as its the same configuration. The billing would only change if they were to adjust how the source property receives data (which it sounds like they are changing).","Will moving properties from one rollup to another impact billing, or will it be a wash since the properties and filters remain the same?","No, moving properties and filters between rollups without changing their configuration won't affect billing. Costs are based on the number of events sent to rollups, regardless of which specific rollup they're in. So, if the properties and filters stay the same, the number of billable events remains the same.

Key points:

Billing is tied to events sent to rollups, not the rollups themselves.
Moving properties and filters without altering their configuration doesn't change event volume.
Costs would only change if the way source properties receive data were modified."
"""00001340""","We had a question related to Big Query and GA4.  The team is looking at data from each source and sometimes they tie out and sometimes there is a ~5% variance.  We have been looking at session data.
 
Do you have any insight on this variance? We assume there is some type of performance algorithm that optimizes the data displayed in the GA4 UI vs pure raw data in BQ. ","With the way GA4 manipulates the data for the UI and the BQ data being in its raw form, there will naturally be some variance when comparing the data sets. a ~5% variance is actually a pretty solid variance and sits around a very acceptable percentage. the ga4bigquery.com site does a pretty good summation of things that may impact the difference and can be reviewed here: 

https://www.ga4bigquery.com/why-your-bigquery-results-dont-exactly-match-with-the-google-analytics-reports/

In regards to the data you are comparing, is this related to the session_start + page_view event issue from the other thread?

Please review and let me know your thought!",What causes the approximately 5% variance in session data between BigQuery and GA4 reports?,"GA4 adjusts data for UI display, while BigQuery stores it in raw form.

A 5% variance is common and acceptable.

For more details:

Refer to this resource: https://www.ga4bigquery.com/why-your-bigquery-results-dont-exactly-match-with-the-google-analytics-reports/"
"""00001340""","We had a question related to Big Query and GA4.  The team is looking at data from each source and sometimes they tie out and sometimes there is a ~5% variance.  We have been looking at session data.
 
Do you have any insight on this variance? We assume there is some type of performance algorithm that optimizes the data displayed in the GA4 UI vs pure raw data in BQ. ","With the way GA4 manipulates the data for the UI and the BQ data being in its raw form, there will naturally be some variance when comparing the data sets. a ~5% variance is actually a pretty solid variance and sits around a very acceptable percentage. the ga4bigquery.com site does a pretty good summation of things that may impact the difference and can be reviewed here: 

https://www.ga4bigquery.com/why-your-bigquery-results-dont-exactly-match-with-the-google-analytics-reports/

In regards to the data you are comparing, is this related to the session_start + page_view event issue from the other thread?

Please review and let me know your thought!",Is this variance due to a performance algorithm or data processing differences between BigQuery and GA4's UI?,"GA4 adjusts data for UI display, while BigQuery stores it in raw form.

For more details:

Refer to this resource: https://www.ga4bigquery.com/why-your-bigquery-results-dont-exactly-match-with-the-google-analytics-reports/"
"""00001354""","How can my role be upgraded to include Administrator on our Tag Manager accounts? I am an Org User Admin. The Marketing Platform lists all of our Tag Manager accounts, however, without Administrator access the accounts cannot be seen nor accessed in Google Tag Manager to manage the users. When trying to change the role to Administrator for myself or another Org User Admin the action fails. Please advise.","In regards to access beyond ORG ADMIN in GTM, you will need to be added as a PUBLISHER by an ADMIN in each of the GTM containers you have in your GTM account (or granted ADMIN rights at the GTM account level at which point you can grant yourself PUBLISH rights at the container level). Once you have that access at the individual container/account level, you will be able to grant PUBLISH access to others from the GMP console moving forward.",I'm an Org User Admin but can't access Tag Manager accounts in Google Marketing Platform. How do I get Administrator access there?,"You need to be added as a PUBLISHER to each container in your GTM account by an existing ADMIN. Alternatively, you can be granted ADMIN rights at the GTM account level and then add yourself as a PUBLISHER to each container.

Once you have PUBLISH rights at the container/account level, you'll be able to manage those permissions for others from GMP."
"""00001358""","I recently connected with Gavin Chui from Merriam-Webster, Cc'ed here. He informed me of an issue he's experiencing regarding expanding the date range in New GA360. 
 
For example, when he expands the data date range to show the last twelve months he cannot go back past November 11, 2022. 
 
Could you please work with Gavin to troubleshoot?","Can you confirm this property is 360 enabled (360 flag next to name). I can confirm on my end if you sent the above also.

Once your property has been 360 enabled (if it was not before), you will want to follow these steps in the following link to extend your Data Retention period for your custom reports:

https://support.google.com/analytics/answer/11202874

Admin ==> Property Column ==> Data Setting ==> Data Retention

Set to ""50 months""

Please note, that this is not a retroactive adjustment and will only start allowing data to be viewed in your custom reports (e.g. explorations) from the date you change this.

You will, however, be able to view your data BEFORE your date range in the standard reporting (e.g.Reports on the left navigation).

Please let me know the above information (or if you were able to successfully update the settings).","I'm having trouble expanding date ranges beyond Nov 11, 2022 in New GA360. Can you help troubleshoot?","1. Verify 360 enablement:

Check if the property has the 360 flag. If not, enable it.
2. Extend data retention:

Follow these steps to extend the data retention period for custom reports:
Go to Admin > Property > Data Settings > Data Retention.
Set it to ""50 months.""
3. Note limitations:

This adjustment isn't retroactive. It only affects data from the change date onwards in custom reports.
You can still view older data in standard reports."
"""00001338""","We are unable to see some custom dimensions in GA4 reports and are not sure why, or how to fix.  Can you assist please?

 

The dimensions we are having issues with are currently being set in config.  Here are the parameter/dimension names we are having issues with: AP_Org_ID, AP_Org_Type, AP_Org_Cat, AP_User_Id, AP_EventTime 

 

For some events, we are explicitly setting these parameters with the event rather than via config; the explicitly set parameters do seem to be coming through in reporting.

","Hello!

It looks like the config setting is being fired twice:

Can you confirm when and where both instances are firing? Im guessing the one you are setting the values is easy to find but the second instance (the one that is firing first) my be preventing you from re-configuiring the SAME measurement ID due to race conditions. If you can take a look at your CMS and determine if there is an additional location where GA/GTAG is being set then it may be a good idea to attempt to disable the one that is NOT sending the information you need and give it another shot.

Let me know if you are able to locate that rogue gtag/google product that is firing before the one you want and then let me know if it has been paused/removed and I can check again!

Thank you!
","Why are some custom dimensions not showing up in GA4 reports, even though they're set in config?","Check to see if the issue is being caused by the config setting being fired twice.

To fix it:

Identify duplicate instances:

Check your CMS for multiple GA/GTAG settings.
Determine which one is sending the correct information.
Disable the incorrect instance:

Pause or remove the one that isn't sending the necessary data.
Retest:

After disabling the duplicate, check if the custom dimensions appear in reports."
"""00001369""","I received a question from another Fool that I’m wondering if you could help point me in the right direction on. I know we have our annual contract with SDI, but am wondering if we should also have one directly with Google for GA? And if so, would you manage that, or is that something we’d have set up with Google directly?

 

Specifically, I’m interested in the language around Google’s sharing of our data with other Google entities.

 

Apologies for the likely dumb question, and one I should probably know the answer to already lol – appreciate your help!","Further does not own any data as we are official resellers and partners of Google. Where are other agencies may OWN your data (e.g. they have their own GA360 license and they build your accounts/property structure under their own GMP Organization), Further and Google generate your OWN Organization (Link to GMP Organization). This means that at no point is your data own by Further and is owned by your organization.

Having multiple licenses is not advised if your business interacts across the board. Having two licenses will end up costing you more as the number of events you collect in each license will be applied at the lower tier (higher cost per million events) instead of having all accounts together and being billed all together (higher tier = less per million at each tier).",Should we have a separate Google Analytics contract alongside our Further contract?,"No, there's no need for both. Here's why:

Data ownership: Further doesn't own your data, unlike some agencies. You have your own Google Marketing Platform organization and own your data directly.

Cost efficiency: Multiple licenses increase costs as event volume is billed at lower tiers in each, resulting in a higher cost per million events. One combined license gets you higher tiers and lower costs overall."
"""00001357""","
I am trying to figure out how and where to configure api calls in the product code in order to pull back the custom variables/parameters per call?  This is what we have done so far....
 
Configured 'GA4 - api_call' event in GA4 property. You can see the event parameters that can be collected as part of the api call event below (currently there is nothing mapping to them so they are all showing '(not set)').  What I need to understand is where does a FE configure those parameters in the code (example of code provided) so that it pulls back those details per api call?

Here is an example event I am trying to duplicate in GA4:
ec: API Calls
ea: Forms- Health Care
el: vaos-get-furture-appointments-retrieved","Looking at your GTM implementation, it looks like the variables you are using are looking for parameter names with ""underscores"" instead of ""hyphens"" separating your words. Since your current data layer uses ""hyphens"", your variables currently used in your GA4 tags will return ""(not set)"" as expected since these parameters do not exists in your data layer.

What you should do is switch out the DL variables you are currently using in your GA4 tag with the proper variables (e.g. ""DL - api_name"" should be removed and ""DL - api-name"" should be added).

Please work through this update and let me know if you have any questions. Once this update has been made, you should see your API GA4 events populating with the correct data.

Please feel free to follow up with any questions you may have after reviewing the above.","How do I configure API calls in the product code to capture custom variables/parameters for each call, as needed for my GA4 event?","The issue may be due to a mismatch between variable names and data layer parameters.

Steps to fix:

Update variable names:
In your GTM implementation, change variable names to match data layer parameters.


Re-configure GA4 tag:
Use the updated variables in your GA4 tag.

Expected results:
API GA4 events should now populate with correct data.
"
"""00001379""","Had an additional question from the dev team regarding App Firebase operation related to GA4. Could you please look into this?

 

Currently we are having trouble with the firebase json file. The old json file is replaced with the new GA4 json file. But on the server side, old project server key is being used due to which we are unable to receive notifications anymore. Since we would not want to change the server key, is there a way implement GA4 without changing our old Firebase json file, if not please provide us with another solution.","Unfortunately, this type of request does not fall under what the GA360 license product support team can support. As this is related to an implementation and not a GA4 system issue within the GA4 platform, we will not be able to provide assistance with this issue. 

I have included Andrew York, your Search Discovery Client Service Lead, in the event that there may need to be a discussion on putting together a team to help audit the implementation and come up with the next steps that satisfy your needs. ","Can we implement GA4 without changing our old Firebase JSON file or server key, as we're currently experiencing notification issues after updating the file?","The GA360 license product support team cannot directly address this implementation-specific issue.

Next steps:

Engage your Further Client Service Lead, to discuss potential solutions.
Consider assembling a team to audit the implementation and determine appropriate actions."
"""00001373""","We have a few questions listed below regarding our GA4 app configuration and hoping you could help us answer the questions.

 

When seeing Realtime data for website / app for the past 30 mins, the numbers are unusually high. We generally do not have more than 4-5 users working on our test website / app but for some reason it shows 30+ most of the times. Any idea why would this be happening? Just FYI, the numbers are correctly displaying on Universal.
When 2 or more conditions are applied for segmentation, the Realtime data does not populate any results. It only works when 1 condition is applied. Do you know if this is a bug or is there a way around this?
For most of our events, our (not set) numbers are very high, despite of configuring the tag correctly. Any idea what needs to be changed in order to minimize this number as much as possible? Did look at google’s page but not that useful. Just FYI, most of the events which we track are custom events.
How do we connect the debug view on app via GTM, do you have any steps for that. I did create a android container. What needs to be done next?
 

While using user snapshot tool to debug, we are unable to see the data instantly. Just FYI our website is connected to GTM, for which the debug view works great, but our app is tagged through backend, for which we are finding a way to debug the events created.

","In an app dev instance, is it possible that your dev team is generating new instances of the app during QA that may be generating a new client ID (device ID)? If so, this may be why you are seeing an increase in users within a 30-minute period.

2. Following the documentation around comparison, there will be combinations of dimensions that may not work in real-time reporting (but may work in other reports). This is due to how GA4 processes the data and in some instances takes time for the back-end of GA4 to digest the data and apply it. In an example of 2 conditions working, Selecting ""Device Category"" = ""mobile"" and ""App version"" = 5.44, the real-time report continues to show activity

Can you provide some combinations that are causing the report to not display data on your end?


3. During your QA of tracking, are you watching the network calls being set out of the app and into GA4 or are you just firing the event and waiting to see the event in GA4? I would always suggest you follow the path of data as it flows to GA4 in case the data is not being sent with the expected data. In regards to the (not set) data you are seeing, can you provide some dimensions + event combos so that I can take a look?

4. In regards to debug for apps, Google has documentation for Android and iOS below:

Google Tag Manager for Android
Google Tag Manager for iOS

2. Realtime is subject to data processing delays and what may or may not be available at the time data is flowing in. The realtime report will not always work with every dimension in GA4, and if it is important to debug events that are coming in along with the information each event is sending, then I would suggest using the debug feature when testing your apps: 

https://analytics.google.com/analytics/web/?pli=1#/a237882206p327698204/admin/debugview/overview

https://support.google.com/analytics/answer/7201382?hl=en

3. I would still suggest watching the data flow from the initial point (e.g. the app) and follow the activity between that and GA4. If there is a point in the process where the data changes, you will only find that out when tracing the data between systems. Often times, the implemenation of the events is solid from a dev perspective, but when the event is sent from the app out to GA4, the data is not populating the network call and thus resulting in (not set) at the end. If you can provide me with screenshots of the trace between app to GA4, that would be helpful to determine where the data is being lost.

4. Great!

5. As mentioned above, using the ""DebugView"" feature seems to be what you are more interested vs the realtime reporting + user snapshot. The DebugView feature is more geared toward seeing the data as a whole as it come through via a debug activated device. This will allow you to better see information coming through to GA4 vs. the RT report which is not designed to capture and display all data points sent with each event.

https://support.google.com/analytics/answer/7201382?hl=en","Why are Realtime user numbers unusually high in GA4, even though we have only 4-5 testers?",Explore if multiple device IDs are being generated during app dev testing.
